,DATE,OrderNumber,Coord
494,12/4/2018,3759954,"[37.75, 21.0]"
495,12/4/2018,3759955,"[39.0, 9.0]"
496,12/4/2018,3759950,"[44.25, 10.5]"
497,12/4/2018,3759952,"[24, 9.0]"
498,12/4/2018,3759944,"[34.5, 10.5]"
499,12/4/2018,3759949,"[19.5, 21.0]"
500,12/4/2018,3759941,"[44.25, 21.0]"
501,12/4/2018,3759939,"[26, 16.5]"
502,12/4/2018,3759939,"[28.0, 15.0]"
503,12/4/2018,3759936,"[44.25, 22.5]"
504,12/4/2018,3759936,"[19.5, 21.0]"
505,12/5/2018,3763386,"[22.75, 12.0]"
506,12/5/2018,3763386,"[22.75, 12.0]"
507,12/5/2018,3763386,"[20.75, 12.0]"
508,12/5/2018,3763386,"[20.75, 12.0]"
509,12/5/2018,3763386,"[24, 13.5]"
510,12/5/2018,3763383,"[32.5, 21.0]"
511,12/5/2018,3763385,"[22.75, 13.5]"
512,12/5/2018,3763385,"[22.75, 6.0]"
513,12/5/2018,3763381,"[35.75, 12.0]"
514,12/5/2018,3763380,"[32.5, 19.5]"
515,12/5/2018,3763379,"[32.5, 18.0]"
516,12/5/2018,3763375,"[22.75, 13.5]"
517,12/5/2018,3763372,"[47.5, 13.5]"
518,12/5/2018,3763368,"[47.5, 10.5]"
519,12/5/2018,3763369,"[20.75, 6.0]"
520,12/5/2018,3763364,"[26, 22.5]"
521,12/5/2018,3763366,"[19.5, 21.0]"
522,12/5/2018,3763363,"[42.25, 15.0]"
523,12/5/2018,3763362,"[48.75, 16.5]"
524,12/5/2018,3763359,"[47.5, 16.5]"
525,12/5/2018,3763360,"[34.5, 15.0]"
526,12/5/2018,3763356,"[34.5, 12.0]"
527,12/5/2018,3763353,"[45.5, 10.5]"
528,12/5/2018,3763348,"[45.5, 10.5]"
529,12/5/2018,3763348,"[19.5, 21.0]"
530,12/5/2018,3763350,"[35.75, 9.0]"
531,12/5/2018,3763350,"[22.75, 21.0]"
532,12/5/2018,3763346,"[32.5, 22.5]"
533,12/5/2018,3763345,"[35.75, 12.0]"
534,12/5/2018,3763341,"[24, 16.5]"
535,12/5/2018,3763342,"[19.5, 21.0]"
536,12/5/2018,3763340,"[28.0, 21.0]"
537,12/5/2018,3763337,"[44.25, 13.5]"
538,12/5/2018,3763335,"[22.75, 13.5]"
539,12/5/2018,3763289,"[24, 12.0]"
540,12/5/2018,3763161,"[28.0, 18.0]"
